"Name","IPAddress","Status","ErrorMessage"
"bnoprdslic01-a","172.17.206.41","OK",""
"bnoprdslic02-a","172.17.206.44","OK",""
"bnoprepofidu2-a","172.17.201.72","OK",""
"bnoprepofidu-a","172.17.201.73","OK",""
"bnoprepreg-a","172.17.207.104","OK",""
"bnopreproyect-b","172.27.201.44","OK",""
"bnoprestore-a","172.17.206.40","OK",""
"bnopriesgos-a","172.17.90.201","OK",""
"bnoprmsjura","172.17.201.63","OK",""
"bnopsaaipb-a","172.17.201.88","OK",""
"bnopsatellite-a","172.17.206.130","OK",""
"bnopsccma01","172.17.206.76","OK",""
"bnopsccma02","","NOT_OK","bnopsccma02 : El nombre DNS no existe"
"bnopsccmb01","172.27.206.44","OK",""
"bnopscoma01","172.17.206.69","OK",""
"bnopscoma02","172.17.206.64","OK",""
"bnopscoma03","172.17.206.84","OK",""
"bnopsdiconta-a","172.17.204.37","OK",""
"bnopsgrt-a","10.60.128.136,172.17.201.87","OK",""
"bnopsial01-a","172.17.201.80","OK",""
"bnopsiar-a","172.17.205.13","OK",""
"bnopsicaf-a","172.17.201.33","OK",""
"bnopsicofin01-a","172.17.201.17","OK",""
"bnopsicofin1-a","172.17.207.96","OK",""
"bnopsicovi02-a","172.17.201.67","OK",""
"bnopsicreb03-a","172.17.202.17","OK",""
"bnopsigcar-a","","NOT_OK","bnopsigcar-a : El nombre DNS no existe"
"bnopsigro-a","172.17.90.41","OK",""
"bnopsip01-a","172.17.90.209","OK",""
"bnopsipp-a","","NOT_OK","bnopsipp-a : El nombre DNS no existe"
"bnopsispromex-a","172.17.201.64","OK",""
"bnopsissarr-a","172.17.201.85","OK",""
"bnopsmbamb01","172.27.206.11","OK",""
"bnopsolman-a","","NOT_OK","bnopsolman-a : El nombre DNS no existe"
"bnopsolmans","172.17.211.32","OK",""
"bnopsp2010app-a","172.17.216.162","OK",""
"bnopsp2010db-a","172.17.206.27","OK",""
"bnopspap16-a","172.17.216.234","OK",""
"bnopspbd16-a","172.17.206.98","OK",""
"bnopspei01-a-n","172.17.219.2","OK",""
"bnopspei02-a","172.17.204.16","OK",""
"bnopspeiamp-a","172.17.219.17","OK",""
"bnopspeicep-a","172.17.216.138","OK",""
"bnopsppcap01-a","172.17.206.140","OK",""
"bnopsppcbd01-a","172.17.206.141","OK",""
"bnopsppcwb01-a","172.17.206.142","OK",""
"bnopsppdtic-a","172.17.206.59","OK",""
"bnopsppintra-a","172.17.201.59","OK",""
"bnopsrm00-a","172.17.209.38","OK",""
"bnopsrm00-b","172.27.209.4","OK",""
"bnopsrm01-a","172.17.209.39","OK",""
"bnopsrm01-b","172.27.209.5","OK",""
"bnopstata-b","172.27.206.34","OK",""
"bnoptcsgcpa01","172.17.206.87","OK",""
"bnoptelco-b","172.27.206.9","OK",""
"bnopveeambjobsa","172.17.206.133","OK",""
"bnopveeamema","172.17.206.134","OK",""
"bnopveeammja","172.17.206.135","OK",""
"bnopveeamproxya","","NOT_OK","bnopveeamproxya : El nombre DNS no existe"
